cell_id,QD_100,IR_cycle2,IR_cycle100,IR_diff,dVdQ_var_10,dVdQ_var_100,dVdQ_var_diff,I_var_10,I_var_100,I_var_diff,chargetime_s_mean_2to6,fade_slope,fade_intercept
b1c1,1.0806297,0.017038831,0.01699684,-4.199100000000164e-05,671.8423353516637,668.8076458346624,-3.0346895170013113,8.395846281094432,8.3945740131259,-0.0012722679685310823,804.5490000000001,5.5352925170070685e-06,1.0809645798796124
b1c4,1.0826457,0.016787428,0.016734114,-5.331399999999875e-05,669.7175152170864,667.2494396245995,-2.4680755924869118,9.151817022630276,9.18373988059978,0.031922857969505,722.5110400000004,1.899431787260345e-05,1.0818748211016282
b1c5,1.0797794,0.016437579,0.016325712,-0.0001118670000000016,667.9388733796558,664.2151706552584,-3.7237027243974126,10.022393954755076,9.775229884054207,-0.24716407070086888,658.0709800000001,1.1228400742115005e-05,1.0797547949964956
b1c6,1.0792426,0.017001977,0.016668631,-0.0003333460000000017,665.6335429593828,659.2251145463479,-6.408428413034926,10.71136383603228,10.58282534382611,-0.12853849220616986,604.5887399999995,-4.8086468769325835e-06,1.0811570258392085
b1c7,1.0957625,0.016311171,0.01627275,-3.842100000000029e-05,647.3512484106247,648.7366458854916,1.3853974748668634,10.610705593855167,10.588169936904691,-0.02253565695047577,601.5049000000002,-6.428188002473638e-06,1.0972542699113585
b1c8,1.0941359,0.016807221,0.016829027,2.1805999999999215e-05,650.4485007845258,644.4703131833601,-5.9781876011657005,10.313840203965096,10.295724807637662,-0.018115396327434752,672.5090199999997,5.429254174397352e-06,1.0944950454108433
b1c9,1.0876312,0.016978227,0.016944561,-3.366599999999817e-05,667.4479416056665,660.068152255331,-7.3797893503355,10.63409513430916,10.604488164151835,-0.029606970157324497,672.4773599999996,1.8204385899814532e-05,1.0867714248039577
b1c10,1.0816405,0.016592897,0.016675979,8.308200000000168e-05,674.5894726762264,669.2014022223942,-5.3880704538321424,10.520755999375867,10.44589343392131,-0.07486256545455738,703.0941200000005,2.529188002473753e-05,1.0804147323005568
b1c11,1.0599719,0.016575078,0.0162715,-0.0003035779999999988,701.7701730107786,693.3906196565423,-8.37955335423635,10.354320312784761,10.203988995746519,-0.15033131703824232,700.1325599999992,2.1809402597402858e-05,1.0589716063261183
b1c12,1.0819131,0.016551878,0.016531222,-2.065599999999737e-05,670.8767190848564,668.0634956766996,-2.813223408156773,10.759851049646135,10.717760118582497,-0.04209093106363859,641.1642999999999,1.2573115646258772e-05,1.081513994334364
b1c13,1.0836461,0.017159661,0.01714633,-1.3330999999998372e-05,663.4140506476903,661.3645746711087,-2.0494759765815616,10.507077009092049,10.493882674846661,-0.013194334245387296,643.1502399999998,4.458676561533413e-06,1.0840458448690993
b1c14,1.0762016,0.017121186,0.017053071,-6.811500000000054e-05,678.7489271687899,669.1057096480116,-9.643217520778308,10.649218966414194,10.735779838214906,0.08656087180071204,645.86004,2.623412492269632e-05,1.0747649768006595
b1c15,1.0677497,0.017168047,0.016914751,-0.0002532960000000001,681.2648462355215,675.9772811215403,-5.287565113981259,10.559896824091643,10.371944521289434,-0.1879523028022092,647.8623400000004,2.904936054421799e-05,1.0661753684708306
b1c16,1.0863206,0.01683085,0.016816031,-1.4819000000002719e-05,662.7739474648052,657.8426227162764,-4.931324748528823,10.960350420421753,10.970496236172542,0.010145815750789211,606.7864600000008,2.3160274582560226e-05,1.085288382561946
b1c17,1.0769763,0.016778639,0.016800802,2.2162999999998656e-05,672.3907393248298,668.1833361497999,-4.207403175029981,10.881052538412733,10.91941683051287,0.0383642921001357,608.8128399999998,1.788623129251757e-05,1.076194038567718
b1c18,1.0645274,0.019886132,0.015891589,-0.003994543,693.3579019065279,684.536334529325,-8.821567377202882,6.5682116636078955,10.820985371480642,4.2527737078727466,597.4904200000005,-4.765498515769921e-05,1.0705443269703157
